date,opening_cash,cash_inflow,cash_outflow,closing_cash
2025-01-01,10000000,0,0,10000000
2025-01-02,10000000,0,0,10000000
2025-01-03,10000000,0,0,10000000
2025-01-04,10000000,0,0,10000000
2025-01-05,10000000,0,0,10000000
2025-01-06,10000000,0,0,10000000
2025-01-07,10000000,0,0,10000000
2025-01-08,10000000,0,0,10000000
2025-01-09,10000000,0,0,10000000
2025-01-10,10000000,0,0,10000000
2025-01-11,10000000,0,0,10000000
2025-01-12,10000000,0,0,10000000
2025-01-13,10000000,0,0,10000000
2025-01-14,10000000,0,0,10000000
2025-01-15,10000000,0,0,10000000
2025-01-16,10000000,0,0,10000000
2025-01-17,10000000,0,0,10000000
2025-01-18,10000000,0,0,10000000
2025-01-19,10000000,0,0,10000000
2025-01-20,10000000,0,0,10000000
2025-01-21,10000000,0,0,10000000
2025-01-22,10000000,0,0,10000000
2025-01-23,10000000,0,0,10000000
2025-01-24,10000000,0,0,10000000
2025-01-25,10000000,0,0,10000000
2025-01-26,10000000,0,0,10000000
2025-01-27,10000000,0,0,10000000
2025-01-28,10000000,0,0,10000000
2025-01-29,10000000,0,0,10000000
2025-01-30,10000000,0,0,10000000
2025-01-31,10000000,0,0,10000000
2025-02-01,10000000,0,0,10000000
2025-02-02,10000000,234180,0,10234180
2025-02-03,10234180,376664,0,10610844
2025-02-04,10610844,290861,0,10901705
2025-02-05,10901705,0,0,10901705
2025-02-06,10901705,637683,190131,11349257
2025-02-07,11349257,146178,0,11495435
2025-02-08,11495435,68786,138215,11426006
2025-02-09,11426006,78650,0,11504656
2025-02-10,11504656,420954,199319,11726291
2025-02-11,11726291,560926,0,12287217
2025-02-12,12287217,187082,0,12474299
2025-02-13,12474299,251231,0,12725530
2025-02-14,12725530,223873,384159,12565244
2025-02-15,12565244,548358,301562,12812040
2025-02-16,12812040,176428,0,12988468
2025-02-17,12988468,660483,42332,13606619
2025-02-18,13606619,540201,0,14146820
2025-02-19,14146820,0,0,14146820
2025-02-20,14146820,556885,245789,14457916
2025-02-21,14457916,190065,0,14647981
2025-02-22,14647981,0,0,14647981
2025-02-23,14647981,227591,0,14875572
2025-02-24,14875572,525366,0,15400938
2025-02-25,15400938,745414,0,16146352
2025-02-26,16146352,1063707,56986,17153073
2025-02-27,17153073,1025827,324507,17854393
2025-02-28,17854393,43752,0,17898145
2025-03-01,17898145,256203,166678,17987670
2025-03-02,17987670,1203634,238056,18953248
2025-03-03,18953248,805935,0,19759183
2025-03-04,19759183,0,541263,19217920
2025-03-05,19217920,331969,289032,19260857
2025-03-06,19260857,409660,212697,19457820
2025-03-07,19457820,460203,0,19918023
2025-03-08,19918023,501476,0,20419499
2025-03-09,20419499,264315,547610,20136204
2025-03-10,20136204,608387,0,20744591
2025-03-11,20744591,1476583,18750,22202424
2025-03-12,22202424,0,108651,22093773
2025-03-13,22093773,539258,0,22633031
2025-03-14,22633031,648973,343687,22938317
2025-03-15,22938317,496794,0,23435111
2025-03-16,23435111,1187580,0,24622691
2025-03-17,24622691,0,277376,24345315
2025-03-18,24345315,284528,719537,23910306
2025-03-19,23910306,255242,373063,23792485
2025-03-20,23792485,596110,0,24388595
2025-03-21,24388595,0,352990,24035605
2025-03-22,24035605,202034,26611,24211028
2025-03-23,24211028,1040030,449692,24801366
2025-03-24,24801366,507851,393521,24915696
2025-03-25,24915696,622778,83407,25455067
2025-03-26,25455067,1458485,0,26913552
2025-03-27,26913552,0,0,26913552
2025-03-28,26913552,1021339,0,27934891
2025-03-29,27934891,1399998,0,29334889
2025-03-30,29334889,238387,156683,29416593
2025-03-31,29416593,979909,284928,30111574
2025-04-01,30111574,1036016,0,31147590
2025-04-02,31147590,33586,419254,30761922
2025-04-03,30761922,0,0,30761922
2025-04-04,30761922,978090,0,31740012
2025-04-05,31740012,0,0,31740012
2025-04-06,31740012,864686,320255,32284443
2025-04-07,32284443,755453,237407,32802489
2025-04-08,32802489,637461,0,33439950
2025-04-09,33439950,865495,81035,34224410
2025-04-10,34224410,305507,151037,34378880
2025-04-11,34378880,1388300,0,35767180
2025-04-12,35767180,36891,551899,35252172
2025-04-13,35252172,948836,0,36201008
2025-04-14,36201008,144364,29199,36316173
2025-04-15,36316173,469753,136077,36649849
2025-04-16,36649849,534689,219682,36964856
2025-04-17,36964856,165734,0,37130590
2025-04-18,37130590,665322,502934,37292978
2025-04-19,37292978,977788,0,38270766
2025-04-20,38270766,77343,77202,38270907
2025-04-21,38270907,1706882,0,39977789
2025-04-22,39977789,1035361,0,41013150
2025-04-23,41013150,0,0,41013150
2025-04-24,41013150,210360,0,41223510
2025-04-25,41223510,418965,271162,41371313
2025-04-26,41371313,441434,173497,41639250
2025-04-27,41639250,764109,0,42403359
2025-04-28,42403359,0,307198,42096161
2025-04-29,42096161,1033759,0,43129920
2025-04-30,43129920,628344,241054,43517210
2025-05-01,43517210,655957,0,44173167
2025-05-02,44173167,1219696,117676,45275187
2025-05-03,45275187,674381,179653,45769915
2025-05-04,45769915,750906,0,46520821
2025-05-05,46520821,0,218792,46302029
2025-05-06,46302029,552348,488626,46365751
2025-05-07,46365751,0,0,46365751
2025-05-08,46365751,326881,0,46692632
2025-05-09,46692632,175318,268068,46599882
2025-05-10,46599882,832881,282557,47150206
2025-05-11,47150206,280153,0,47430359
2025-05-12,47430359,432427,0,47862786
2025-05-13,47862786,84046,535902,47410930
2025-05-14,47410930,178030,213183,47375777
2025-05-15,47375777,459997,211297,47624477
2025-05-16,47624477,438283,220020,47842740
2025-05-17,47842740,198358,246934,47794164
2025-05-18,47794164,454085,0,48248249
2025-05-19,48248249,0,259984,47988265
2025-05-20,47988265,671151,0,48659416
2025-05-21,48659416,23770,0,48683186
2025-05-22,48683186,0,0,48683186
2025-05-23,48683186,0,259299,48423887
2025-05-24,48423887,163096,108121,48478862
2025-05-25,48478862,379514,0,48858376
2025-05-26,48858376,0,0,48858376
2025-05-27,48858376,0,287775,48570601
2025-05-28,48570601,764962,210838,49124725
2025-05-29,49124725,231694,420526,48935893
2025-05-30,48935893,670380,204356,49401917
2025-05-31,49401917,468502,0,49870419
2025-06-01,49870419,1314394,117890,51066923
2025-06-02,51066923,670540,0,51737463
2025-06-03,51737463,643306,120036,52260733
2025-06-04,52260733,800904,615930,52445707
2025-06-05,52445707,328738,0,52774445
2025-06-06,52774445,623495,0,53397940
2025-06-07,53397940,46615,413154,53031401
2025-06-08,53031401,821741,0,53853142
2025-06-09,53853142,0,180858,53672284
2025-06-10,53672284,924327,280529,54316082
2025-06-11,54316082,0,0,54316082
2025-06-12,54316082,993012,271925,55037169
2025-06-13,55037169,1033582,0,56070751
2025-06-14,56070751,695412,90815,56675348
2025-06-15,56675348,55971,72869,56658450
2025-06-16,56658450,273335,0,56931785
2025-06-17,56931785,1276311,559172,57648924
2025-06-18,57648924,227505,268912,57607517
2025-06-19,57607517,0,401654,57205863
2025-06-20,57205863,50662,163047,57093478
2025-06-21,57093478,786567,167879,57712166
2025-06-22,57712166,0,0,57712166
2025-06-23,57712166,196080,126392,57781854
2025-06-24,57781854,268075,58937,57990992
2025-06-25,57990992,869849,417320,58443521
2025-06-26,58443521,1316589,282759,59477351
2025-06-27,59477351,626819,196511,59907659
2025-06-28,59907659,470201,0,60377860
2025-06-29,60377860,391510,0,60769370
2025-06-30,60769370,840308,0,61609678
2025-07-01,61609678,188384,0,61798062
2025-07-02,61798062,576264,290881,62083445
2025-07-03,62083445,0,146834,61936611
2025-07-04,61936611,365441,46259,62255793
2025-07-05,62255793,465993,269217,62452569
2025-07-06,62452569,618383,157760,62913192
2025-07-07,62913192,551322,206006,63258508
2025-07-08,63258508,938238,94179,64102567
2025-07-09,64102567,0,82011,64020556
2025-07-10,64020556,672611,0,64693167
2025-07-11,64693167,0,161693,64531474
2025-07-12,64531474,625475,273238,64883711
2025-07-13,64883711,564961,0,65448672
2025-07-14,65448672,447152,227820,65668004
2025-07-15,65668004,1233481,0,66901485
2025-07-16,66901485,426970,85374,67243081
2025-07-17,67243081,1050499,29361,68264219
2025-07-18,68264219,536523,267673,68533069
2025-07-19,68533069,778869,444607,68867331
2025-07-20,68867331,190978,0,69058309
2025-07-21,69058309,494724,0,69553033
2025-07-22,69553033,652642,297863,69907812
2025-07-23,69907812,731803,0,70639615
2025-07-24,70639615,1134548,0,71774163
2025-07-25,71774163,507896,279644,72002415
2025-07-26,72002415,0,348011,71654404
2025-07-27,71654404,996924,40687,72610641
2025-07-28,72610641,1134224,182486,73562379
2025-07-29,73562379,489882,0,74052261
2025-07-30,74052261,472008,77437,74446832
2025-07-31,74446832,772105,0,75218937
2025-08-01,75218937,177296,0,75396233
2025-08-02,75396233,0,427514,74968719
2025-08-03,74968719,0,269654,74699065
2025-08-04,74699065,92892,0,74791957
2025-08-05,74791957,1458980,197897,76053040
2025-08-06,76053040,0,0,76053040
2025-08-07,76053040,467281,276516,76243805
2025-08-08,76243805,0,0,76243805
2025-08-09,76243805,914620,381202,76777223
2025-08-10,76777223,517958,0,77295181
2025-08-11,77295181,224898,131077,77389002
2025-08-12,77389002,97477,0,77486479
2025-08-13,77486479,130140,0,77616619
2025-08-14,77616619,1725957,150155,79192421
2025-08-15,79192421,321366,210791,79302996
2025-08-16,79302996,51745,194305,79160436
2025-08-17,79160436,29558,48779,79141215
2025-08-18,79141215,608519,577493,79172241
2025-08-19,79172241,334218,215806,79290653
2025-08-20,79290653,483264,115209,79658708
2025-08-21,79658708,0,307201,79351507
2025-08-22,79351507,504497,49232,79806772
2025-08-23,79806772,317399,0,80124171
2025-08-24,80124171,688336,0,80812507
2025-08-25,80812507,1361043,0,82173550
2025-08-26,82173550,68868,0,82242418
2025-08-27,82242418,162735,164949,82240204
2025-08-28,82240204,255162,0,82495366
2025-08-29,82495366,477671,567580,82405457
2025-08-30,82405457,861016,0,83266473
2025-08-31,83266473,680247,366710,83580010
2025-09-01,83580010,268371,170174,83678207
2025-09-02,83678207,1078130,0,84756337
2025-09-03,84756337,1477910,437941,85796306
2025-09-04,85796306,257839,181049,85873096
2025-09-05,85873096,152262,328434,85696924
2025-09-06,85696924,1064477,264471,86496930
2025-09-07,86496930,193285,0,86690215
2025-09-08,86690215,532560,0,87222775
2025-09-09,87222775,0,416070,86806705
2025-09-10,86806705,700668,181618,87325755
2025-09-11,87325755,38244,0,87363999
2025-09-12,87363999,194749,0,87558748
2025-09-13,87558748,976000,298719,88236029
2025-09-14,88236029,726952,0,88962981
2025-09-15,88962981,490395,0,89453376
2025-09-16,89453376,443636,0,89897012
2025-09-17,89897012,744917,0,90641929
2025-09-18,90641929,201175,0,90843104
2025-09-19,90843104,525931,0,91369035
2025-09-20,91369035,294534,266219,91397350
2025-09-21,91397350,779445,316809,91859986
2025-09-22,91859986,89908,419492,91530402
2025-09-23,91530402,280313,205664,91605051
2025-09-24,91605051,443987,353358,91695680
2025-09-25,91695680,567290,0,92262970
2025-09-26,92262970,80399,118458,92224911
2025-09-27,92224911,0,0,92224911
2025-09-28,92224911,670365,0,92895276
2025-09-29,92895276,404283,0,93299559
2025-09-30,93299559,739532,0,94039091
2025-10-01,94039091,875684,0,94914775
2025-10-02,94914775,1434774,247681,96101868
2025-10-03,96101868,604691,0,96706559
2025-10-04,96706559,1504242,63428,98147373
2025-10-05,98147373,1161903,0,99309276
2025-10-06,99309276,0,70359,99238917
2025-10-07,99238917,1572542,0,100811459
2025-10-08,100811459,945080,253157,101503382
2025-10-09,101503382,501092,427210,101577264
2025-10-10,101577264,552476,158010,101971730
2025-10-11,101971730,0,0,101971730
2025-10-12,101971730,571800,0,102543530
2025-10-13,102543530,86631,390558,102239603
2025-10-14,102239603,400078,0,102639681
2025-10-15,102639681,931777,0,103571458
2025-10-16,103571458,174407,0,103745865
2025-10-17,103745865,388030,228629,103905266
2025-10-18,103905266,874912,185646,104594532
2025-10-19,104594532,1737631,0,106332163
2025-10-20,106332163,745534,13047,107064650
2025-10-21,107064650,404790,271105,107198335
2025-10-22,107198335,0,299693,106898642
2025-10-23,106898642,1002531,134014,107767159
2025-10-24,107767159,275417,289451,107753125
2025-10-25,107753125,947968,274664,108426429
2025-10-26,108426429,689128,0,109115557
2025-10-27,109115557,203960,39190,109280327
2025-10-28,109280327,1435787,0,110716114
2025-10-29,110716114,156273,504619,110367768
2025-10-30,110367768,726722,0,111094490
2025-10-31,111094490,474014,0,111568504
2025-11-01,111568504,1384323,0,112952827
2025-11-02,112952827,876309,0,113829136
2025-11-03,113829136,706684,379451,114156369
2025-11-04,114156369,336176,0,114492545
2025-11-05,114492545,2389943,0,116882488
2025-11-06,116882488,415181,154071,117143598
2025-11-07,117143598,590496,263043,117471051
2025-11-08,117471051,0,0,117471051
2025-11-09,117471051,781785,0,118252836
2025-11-10,118252836,1640947,0,119893783
2025-11-11,119893783,23343,0,119917126
2025-11-12,119917126,230048,0,120147174
2025-11-13,120147174,588286,0,120735460
2025-11-14,120735460,0,140426,120595034
2025-11-15,120595034,1740046,268880,122066200
2025-11-16,122066200,0,525895,121540305
2025-11-17,121540305,641856,0,122182161
2025-11-18,122182161,1157952,18775,123321338
2025-11-19,123321338,0,0,123321338
2025-11-20,123321338,961065,355417,123926986
2025-11-21,123926986,874829,0,124801815
2025-11-22,124801815,1128242,0,125930057
2025-11-23,125930057,449682,180482,126199257
2025-11-24,126199257,1591294,0,127790551
2025-11-25,127790551,0,396297,127394254
2025-11-26,127394254,1161983,0,128556237
2025-11-27,128556237,1150570,196150,129510657
2025-11-28,129510657,184275,0,129694932
2025-11-29,129694932,503456,0,130198388
2025-11-30,130198388,173186,126740,130244834
2025-12-01,130244834,1339433,0,131584267
2025-12-02,131584267,1838159,493130,132929296
2025-12-03,132929296,558394,0,133487690
2025-12-04,133487690,1317688,162277,134643101
2025-12-05,134643101,439883,167165,134915819
2025-12-06,134915819,372403,207194,135081028
2025-12-07,135081028,799129,102008,135778149
2025-12-08,135778149,1105188,0,136883337
2025-12-09,136883337,628816,0,137512153
2025-12-10,137512153,1937384,510171,138939366
2025-12-11,138939366,456925,0,139396291
2025-12-12,139396291,0,390026,139006265
2025-12-13,139006265,536469,0,139542734
2025-12-14,139542734,918585,299489,140161830
2025-12-15,140161830,860119,0,141021949
2025-12-16,141021949,1158570,0,142180519
2025-12-17,142180519,685666,0,142866185
2025-12-18,142866185,0,180520,142685665
2025-12-19,142685665,1068605,0,143754270
2025-12-20,143754270,517164,350925,143920509
2025-12-21,143920509,498128,106966,144311671
2025-12-22,144311671,723349,0,145035020
2025-12-23,145035020,829731,0,145864751
2025-12-24,145864751,1167461,0,147032212
2025-12-25,147032212,852944,326238,147558918
2025-12-26,147558918,0,152389,147406529
2025-12-27,147406529,0,0,147406529
2025-12-28,147406529,53437,342339,147117627
2025-12-29,147117627,1673248,0,148790875
