customer_id,customer_name,behavior_type
C001,Customer 1,ON_TIME
C002,Customer 2,ON_TIME
C003,Customer 3,VERY_LATE
C004,Customer 4,CONSISTENT_LATE
C005,Customer 5,CONSISTENT_LATE
C006,Customer 6,CONSISTENT_LATE
C007,Customer 7,ON_TIME
C008,Customer 8,ON_TIME
C009,Customer 9,UNPREDICTABLE
C010,Customer 10,ON_TIME
C011,Customer 11,ON_TIME
C012,Customer 12,ON_TIME
C013,Customer 13,CONSISTENT_LATE
C014,Customer 14,CONSISTENT_LATE
C015,Customer 15,ON_TIME
C016,Customer 16,CONSISTENT_LATE
C017,Customer 17,UNPREDICTABLE
C018,Customer 18,CONSISTENT_LATE
C019,Customer 19,UNPREDICTABLE
C020,Customer 20,VERY_LATE
C021,Customer 21,ON_TIME
C022,Customer 22,CONSISTENT_LATE
C023,Customer 23,UNPREDICTABLE
C024,Customer 24,VERY_LATE
C025,Customer 25,VERY_LATE
C026,Customer 26,CONSISTENT_LATE
C027,Customer 27,CONSISTENT_LATE
C028,Customer 28,VERY_LATE
C029,Customer 29,ON_TIME
C030,Customer 30,ON_TIME
C031,Customer 31,UNPREDICTABLE
C032,Customer 32,ON_TIME
C033,Customer 33,VERY_LATE
C034,Customer 34,VERY_LATE
C035,Customer 35,VERY_LATE
C036,Customer 36,ON_TIME
C037,Customer 37,UNPREDICTABLE
C038,Customer 38,ON_TIME
C039,Customer 39,UNPREDICTABLE
C040,Customer 40,ON_TIME
C041,Customer 41,VERY_LATE
C042,Customer 42,VERY_LATE
C043,Customer 43,CONSISTENT_LATE
C044,Customer 44,ON_TIME
C045,Customer 45,ON_TIME
C046,Customer 46,CONSISTENT_LATE
C047,Customer 47,VERY_LATE
C048,Customer 48,ON_TIME
C049,Customer 49,CONSISTENT_LATE
C050,Customer 50,ON_TIME
