invoice_id,customer_id,invoice_date,amount,previous_avg_delay,previous_median_delay,previous_std_delay,previous_on_time_ratio,previous_late_ratio,days_since_previous_invoice,payment_delay_days
AR0245,C033,2025-01-01,364803,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,15
AR0219,C011,2025-01-02,234180,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,1
AR0078,C003,2025-01-02,194879,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,10
AR0298,C018,2025-01-05,316709,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,2
AR0010,C036,2025-01-06,376664,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-2
AR0185,C036,2025-01-06,290861,-2.0,-2.0,0.0,1.0,0.0,0.0,-1
AR0204,C007,2025-01-07,320974,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,0
AR0341,C009,2025-01-08,207822,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,10
AR0189,C029,2025-01-09,68786,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,0
AR0591,C031,2025-01-09,213125,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,16
AR0683,C040,2025-01-09,146178,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-1
AR0019,C032,2025-01-10,78650,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,0
AR0599,C013,2025-01-10,251231,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,4
AR0156,C031,2025-01-10,412704,16.0,16.0,0.0,0.0,1.0,1.0,29
AR0398,C028,2025-01-10,261043,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,9
AR0234,C038,2025-01-11,420954,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,0
AR0667,C047,2025-01-12,227591,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,12
AR0678,C049,2025-01-12,176428,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,5
AR0094,C015,2025-01-13,366047,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-1
AR0165,C038,2025-01-14,183555,0.0,0.0,0.0,1.0,0.0,3.0,2
AR0468,C015,2025-01-15,187082,-1.0,-1.0,0.0,1.0,0.0,2.0,-2
AR0146,C032,2025-01-15,223873,0.0,0.0,0.0,1.0,0.0,5.0,0
AR0182,C022,2025-01-15,279158,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,4
AR0671,C031,2025-01-17,170518,22.5,22.5,9.192388155425117,0.0,1.0,7.0,21
AR0032,C005,2025-01-17,470696,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,4
AR0082,C035,2025-01-19,457568,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,13
AR0269,C032,2025-01-19,86189,0.0,0.0,0.0,1.0,0.0,4.0,2
AR0496,C017,2025-01-19,414941,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,7
AR0322,C003,2025-01-20,179574,10.0,10.0,0.0,0.0,1.0,18.0,15
AR0470,C009,2025-01-20,170407,10.0,10.0,0.0,0.0,1.0,12.0,25
AR0235,C037,2025-01-21,420088,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,6
AR0231,C039,2025-01-21,486313,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,22
AR0584,C033,2025-01-21,43752,15.0,15.0,0.0,0.0,1.0,20.0,8
AR0170,C037,2025-01-22,202034,6.0,6.0,0.0,0.0,1.0,1.0,29
AR0084,C009,2025-01-22,181616,17.5,17.5,10.606601717798213,0.0,1.0,2.0,18
AR0550,C037,2025-01-22,452661,17.5,17.5,16.263455967290593,0.0,1.0,0.0,-4
AR0494,C013,2025-01-22,185463,4.0,4.0,0.0,0.0,1.0,12.0,4
AR0489,C009,2025-01-23,204706,17.666666666666668,18.0,7.505553499465135,0.0,1.0,1.0,29
AR0686,C016,2025-01-23,230902,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,5
AR0576,C024,2025-01-24,230020,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,8
AR0282,C002,2025-01-24,190065,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-2
AR0551,C006,2025-01-24,356306,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,4
AR0006,C049,2025-01-25,471465,5.0,5.0,0.0,0.0,1.0,13.0,2
AR0476,C008,2025-01-25,145010,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,1
AR0126,C030,2025-01-26,312241,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-1
AR0571,C004,2025-01-26,167511,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,5
AR0564,C007,2025-01-26,172154,0.0,0.0,0.0,1.0,0.0,19.0,1
AR0367,C047,2025-01-27,170800,12.0,12.0,0.0,0.0,1.0,15.0,12
AR0248,C049,2025-01-27,126723,3.5,3.5,2.1213203435596424,0.0,1.0,2.0,4
AR0206,C012,2025-01-27,152371,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,1
AR0343,C017,2025-01-27,86457,7.0,7.0,0.0,0.0,1.0,8.0,21
AR0595,C047,2025-01-27,325934,12.0,12.0,0.0,0.0,1.0,0.0,15
AR0039,C047,2025-01-28,373036,13.0,12.0,1.7320508075688772,0.0,1.0,1.0,9
AR0202,C003,2025-01-28,310119,12.5,12.5,3.5355339059327378,0.0,1.0,8.0,12
AR0246,C027,2025-01-28,118347,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,4
AR0420,C038,2025-01-29,204519,1.0,1.0,1.4142135623730951,0.5,0.5,15.0,2
AR0699,C030,2025-01-30,314852,-1.0,-1.0,0.0,1.0,0.0,4.0,1
AR0055,C011,2025-01-30,286248,1.0,1.0,0.0,0.0,1.0,28.0,-2
AR0422,C003,2025-01-30,213324,12.333333333333334,12.0,2.5166114784235836,0.0,1.0,2.0,12
AR0670,C035,2025-01-31,488828,13.0,13.0,0.0,0.0,1.0,12.0,9
AR0627,C042,2025-01-31,496020,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,9
AR0428,C010,2025-02-01,256203,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-2
AR0140,C027,2025-02-01,128440,4.0,4.0,0.0,0.0,1.0,4.0,5
AR0602,C048,2025-02-01,390029,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,-1
AR0008,C039,2025-02-02,221728,22.0,22.0,0.0,0.0,1.0,12.0,19
AR0492,C009,2025-02-02,395413,20.5,21.5,8.34665601703261,0.0,1.0,10.0,24
AR0207,C008,2025-02-03,230086,1.0,1.0,0.0,0.0,1.0,9.0,1
AR0418,C029,2025-02-04,265849,0.0,0.0,0.0,1.0,0.0,26.0,1
AR0486,C023,2025-02-04,200775,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,10
AR0278,C040,2025-02-05,143087,-1.0,-1.0,0.0,1.0,0.0,27.0,0
AR0056,C012,2025-02-05,331969,1.0,1.0,0.0,0.0,1.0,9.0,-2
AR0226,C010,2025-02-06,51267,-2.0,-2.0,0.0,1.0,0.0,5.0,-1
AR0525,C009,2025-02-07,257000,21.2,24.0,7.395944834840239,0.0,1.0,5.0,6
AR0064,C021,2025-02-07,24883,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,1
AR0311,C030,2025-02-08,93797,0.0,0.0,1.4142135623730951,0.5,0.5,9.0,-1
AR0021,C037,2025-02-10,64907,10.333333333333334,6.0,16.921386861996073,0.3333333333333333,0.6666666666666667,19.0,26
AR0615,C019,2025-02-10,201594,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,23
AR0384,C044,2025-02-11,162660,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,1
AR0437,C022,2025-02-11,325523,4.0,4.0,0.0,0.0,1.0,27.0,3
AR0674,C025,2025-02-11,377947,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,10
AR0136,C035,2025-02-11,92547,11.0,11.0,2.8284271247461903,0.0,1.0,11.0,10
AR0275,C042,2025-02-11,466570,9.0,9.0,0.0,0.0,1.0,11.0,13
AR0059,C040,2025-02-11,239794,-0.5,-0.5,0.7071067811865476,1.0,0.0,6.0,2
AR0352,C005,2025-02-11,188879,4.0,4.0,0.0,0.0,1.0,25.0,3
AR0117,C043,2025-02-13,168785,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,4
AR0429,C022,2025-02-13,284528,3.5,3.5,0.7071067811865476,0.0,1.0,2.0,3
AR0210,C020,2025-02-13,150123,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,9
AR0534,C040,2025-02-14,54470,0.3333333333333333,0.0,1.5275252316519465,0.6666666666666666,0.33333333333333337,3.0,0
AR0233,C002,2025-02-16,140022,-2.0,-2.0,0.0,1.0,0.0,23.0,2
AR0464,C028,2025-02-16,497366,9.0,9.0,0.0,0.0,1.0,37.0,11
AR0362,C005,2025-02-16,456088,3.5,3.5,0.7071067811865476,0.0,1.0,5.0,2
AR0313,C024,2025-02-16,434545,8.0,8.0,0.0,0.0,1.0,23.0,14
AR0279,C015,2025-02-16,247526,-1.5,-1.5,0.7071067811865476,1.0,0.0,32.0,-2
AR0037,C013,2025-02-18,70819,4.0,4.0,0.0,0.0,1.0,27.0,5
AR0323,C008,2025-02-19,143102,1.0,1.0,0.0,0.0,1.0,16.0,2
AR0581,C009,2025-02-19,226518,18.666666666666668,21.0,9.070097390142328,0.0,1.0,12.0,18
AR0303,C041,2025-02-19,493643,5.768571428571429,5.768571428571429,0.0,0.0,1.0,0.0,8
AR0327,C042,2025-02-20,457095,11.0,11.0,2.8284271247461903,0.0,1.0,9.0,15
AR0684,C005,2025-02-21,331397,3.0,3.0,1.0,0.0,1.0,5.0,2
AR0271,C029,2025-02-21,295749,0.5,0.5,0.7071067811865476,0.5,0.5,17.0,1
AR0505,C021,2025-02-22,61979,1.0,1.0,0.0,0.0,1.0,15.0,0
AR0461,C036,2025-02-22,392978,-1.5,-1.5,0.7071067811865476,1.0,0.0,47.0,2
AR0411,C016,2025-02-22,96778,5.0,5.0,0.0,0.0,1.0,30.0,4
AR0086,C043,2025-02-22,205429,4.0,4.0,0.0,0.0,1.0,9.0,5
AR0240,C043,2025-02-23,469699,4.5,4.5,0.7071067811865476,0.0,1.0,1.0,3
AR0368,C023,2025-02-23,322995,10.0,10.0,0.0,0.0,1.0,19.0,27
