invoice_id,customer_id,invoice_date,amount,avg_delay,median_delay,std_delay,invoice_count,payment_delay_days
AR0081,C001,2025-02-27,59449,5.768571428571429,5.768571428571429,0.0,0.0,-1
AR0272,C001,2025-03-15,270187,-1.0,-1.0,0.0,1.0,-1
AR0391,C001,2025-04-15,178030,-1.0,-1.0,0.0,2.0,-1
AR0668,C001,2025-04-22,323201,-1.0,-1.0,0.0,3.0,-2
AR0644,C001,2025-05-14,221103,-1.25,-1.0,0.5,4.0,-1
AR0014,C001,2025-05-15,282451,-1.2,-1.0,0.4472135954999579,5.0,-1
AR0314,C001,2025-05-16,301318,-1.1666666666666667,-1.0,0.408248290463863,6.0,-2
AR0632,C001,2025-06-02,365441,-1.2857142857142858,-1.0,0.48795003647426666,7.0,2
AR0143,C001,2025-06-30,203042,-0.875,-1.0,1.246423454758225,8.0,1
AR0624,C001,2025-10-09,133647,-0.6666666666666666,-1.0,1.3228756555322954,9.0,1
AR0481,C001,2025-11-11,266470,-0.5,-1.0,1.35400640077266,10.0,-1
AR0282,C002,2025-01-24,190065,5.768571428571429,5.768571428571429,0.0,0.0,-2
AR0233,C002,2025-02-16,140022,-2.0,-2.0,0.0,1.0,2
AR0098,C002,2025-03-01,551793,0.0,0.0,2.8284271247461903,2.0,0
AR0512,C002,2025-03-15,534689,0.0,0.0,2.0,3.0,2
AR0375,C002,2025-04-03,163272,0.5,1.0,1.9148542155126762,4.0,0
AR0473,C002,2025-05-12,133065,0.4,0.0,1.6733200530681511,5.0,-1
AR0532,C002,2025-07-04,310466,0.16666666666666666,0.0,1.602081978759722,6.0,2
AR0029,C002,2025-10-29,403538,0.42857142857142855,0.0,1.618347187425374,7.0,-1
AR0374,C002,2025-11-08,474360,0.25,0.0,1.5811388300841898,8.0,0
AR0318,C002,2025-11-14,628670,0.2222222222222222,0.0,1.481365736219265,9.0,2
AR0479,C002,2025-11-20,377266,0.4,0.0,1.5055453054181622,10.0,2
AR0078,C003,2025-01-02,194879,5.768571428571429,5.768571428571429,0.0,0.0,10
AR0322,C003,2025-01-20,179574,10.0,10.0,0.0,1.0,15
AR0202,C003,2025-01-28,310119,12.5,12.5,3.5355339059327378,2.0,12
AR0422,C003,2025-01-30,213324,12.333333333333334,12.0,2.5166114784235836,3.0,12
AR0221,C003,2025-04-29,171049,12.25,12.0,2.0615528128088303,4.0,12
AR0120,C003,2025-05-06,269108,12.2,12.0,1.7888543819998317,5.0,9
AR0430,C003,2025-05-07,390997,11.666666666666666,12.0,2.065591117977289,6.0,15
AR0493,C003,2025-05-31,125691,12.142857142857142,12.0,2.2677868380553634,7.0,8
AR0085,C003,2025-07-03,130140,11.625,12.0,2.5599944196367748,8.0,11
AR0630,C003,2025-07-23,433118,11.555555555555555,12.0,2.403700850309326,9.0,15
AR0669,C003,2025-08-05,200632,11.9,12.0,2.514402955419481,10.0,9
AR0243,C003,2025-08-21,66168,11.636363636363637,12.0,2.5405797477240215,11.0,13
AR0598,C003,2025-10-21,503456,11.75,12.0,2.454124543035107,12.0,9
AR0103,C003,2025-12-29,323204,11.538461538461538,12.0,2.4703368398993892,13.0,8
AR0571,C004,2025-01-26,167511,5.768571428571429,5.768571428571429,0.0,0.0,5
AR0383,C004,2025-03-21,117907,5.0,5.0,0.0,1.0,2
AR0048,C004,2025-03-26,251494,3.5,3.5,2.1213203435596424,2.0,2
AR0053,C004,2025-06-10,57466,3.0,2.0,1.7320508075688772,3.0,2
AR0335,C004,2025-06-20,169855,2.75,2.0,1.5,4.0,3
AR0694,C004,2025-06-26,410874,2.8,2.0,1.3038404810405297,5.0,5
AR0157,C004,2025-06-29,158189,3.1666666666666665,2.5,1.4719601443879746,6.0,2
AR0466,C004,2025-07-22,283196,3.0,2.0,1.4142135623730951,7.0,4
AR0040,C004,2025-07-26,401793,3.125,2.5,1.3562026818605375,8.0,4
AR0460,C004,2025-11-25,353557,3.2222222222222223,3.0,1.3017082793177757,9.0,4
AR0045,C004,2025-11-30,394449,3.3,3.5,1.2516655570345725,10.0,2
AR0648,C004,2025-12-08,106577,3.1818181818181817,3.0,1.2504544628399563,11.0,5
AR0032,C005,2025-01-17,470696,5.768571428571429,5.768571428571429,0.0,0.0,4
AR0352,C005,2025-02-11,188879,4.0,4.0,0.0,1.0,3
AR0362,C005,2025-02-16,456088,3.5,3.5,0.7071067811865476,2.0,2
AR0684,C005,2025-02-21,331397,3.0,3.0,1.0,3.0,2
AR0353,C005,2025-03-06,188815,2.75,2.5,0.9574271077563381,4.0,4
AR0537,C005,2025-03-06,214144,3.0,3.0,1.0,5.0,2
AR0378,C005,2025-03-14,469753,2.8333333333333335,2.5,0.9831920802501751,6.0,2
AR0514,C005,2025-05-01,428166,2.7142857142857144,2.0,0.951189731211342,7.0,4
AR0259,C005,2025-05-22,425104,2.875,2.5,0.991031208965115,8.0,5
AR0421,C005,2025-06-08,301398,3.111111111111111,3.0,1.1666666666666667,9.0,5
AR0435,C005,2025-06-18,79980,3.3,3.5,1.2516655570345725,10.0,5
AR0397,C005,2025-07-23,471812,3.4545454545454546,4.0,1.2933395813657267,11.0,2
AR0044,C005,2025-08-15,443636,3.3333333333333335,3.5,1.3026778945578594,12.0,2
AR0292,C005,2025-08-15,201175,3.230769230769231,3.0,1.300887271175982,13.0,4
AR0273,C005,2025-08-29,429744,3.2857142857142856,3.5,1.266647387553302,14.0,4
AR0408,C005,2025-09-19,404790,3.3333333333333335,4.0,1.2344267996967355,15.0,2
AR0033,C005,2025-09-21,166499,3.25,3.5,1.2382783747337809,16.0,4
AR0022,C005,2025-09-30,484744,3.2941176470588234,4.0,1.2126781251816652,17.0,3
AR0658,C005,2025-10-16,102477,3.2777777777777777,3.5,1.1785113019775795,18.0,2
AR0208,C005,2025-10-23,455013,3.210526315789474,3.0,1.1822270588653647,19.0,2
AR0167,C005,2025-10-31,496704,3.15,3.0,1.1821033884786185,20.0,3
AR0423,C005,2025-11-27,615049,3.142857142857143,3.0,1.1526367287968178,21.0,2
