invoice_id,customer_id,amount,avg_delay,median_delay,std_delay,invoice_count,payment_delay_days,invoice_date
AR0245,C033,364803,11.071428571428571,11.0,2.84102597162162,14,15,2025-01-01
AR0219,C011,234180,0.2727272727272727,1.0,1.5550504230351565,11,1,2025-01-02
AR0078,C003,194879,11.285714285714286,11.5,2.5548918817579205,14,10,2025-01-02
AR0298,C018,316709,3.4,3.0,1.07496769977314,10,2,2025-01-05
AR0010,C036,376664,0.3333333333333333,1.0,1.5430334996209192,15,-2,2025-01-06
AR0185,C036,290861,0.3333333333333333,1.0,1.5430334996209192,15,-1,2025-01-06
AR0204,C007,320974,0.6153846153846154,1.0,1.1929278784054478,13,0,2025-01-07
AR0341,C009,207822,16.08,18.0,11.269131880199703,25,10,2025-01-08
AR0591,C031,213125,17.642857142857142,18.5,7.088529660462227,14,16,2025-01-09
AR0683,C040,146178,-0.4736842105263157,-1.0,1.4286131990551607,19,-1,2025-01-09
AR0189,C029,68786,0.0625,0.0,1.2893796958227628,16,0,2025-01-09
AR0599,C013,251231,4.25,4.5,0.8660254037844386,12,4,2025-01-10
AR0398,C028,261043,10.7,11.0,1.9465068427541912,10,9,2025-01-10
AR0156,C031,412704,17.642857142857142,18.5,7.088529660462227,14,29,2025-01-10
AR0019,C032,78650,0.1666666666666666,0.0,1.2673044646258471,12,0,2025-01-10
AR0234,C038,420954,0.0625,0.0,1.4818344486930155,16,0,2025-01-11
AR0678,C049,176428,3.5625,3.5,1.2093386622447824,16,5,2025-01-12
AR0667,C047,227591,12.285714285714286,12.0,2.2168188275738085,21,12,2025-01-12
AR0094,C015,366047,-0.5,-1.0,1.5055453054181618,16,-1,2025-01-13
AR0165,C038,183555,0.0625,0.0,1.4818344486930155,16,2,2025-01-14
AR0146,C032,223873,0.1666666666666666,0.0,1.2673044646258471,12,0,2025-01-15
AR0468,C015,187082,-0.5,-1.0,1.5055453054181618,16,-2,2025-01-15
AR0182,C022,279158,3.6666666666666665,3.5,1.1547005383792517,12,4,2025-01-15
AR0671,C031,170518,17.642857142857142,18.5,7.088529660462227,14,21,2025-01-17
AR0032,C005,470696,3.1739130434782608,3.0,1.1928641587313162,23,4,2025-01-17
AR0269,C032,86189,0.1666666666666666,0.0,1.2673044646258471,12,2,2025-01-19
AR0082,C035,457568,11.727272727272728,12.0,1.902151891459201,11,13,2025-01-19
AR0496,C017,414941,11.77777777777778,7.0,7.8545811119654525,9,7,2025-01-19
AR0322,C003,179574,11.285714285714286,11.5,2.5548918817579205,14,15,2025-01-20
AR0470,C009,170407,16.08,18.0,11.269131880199703,25,25,2025-01-20
AR0231,C039,486313,17.555555555555557,19.0,6.064468466220084,9,22,2025-01-21
AR0584,C033,43752,11.071428571428571,11.0,2.84102597162162,14,8,2025-01-21
AR0235,C037,420088,12.357142857142858,12.0,11.76439964048735,14,6,2025-01-21
AR0550,C037,452661,12.357142857142858,12.0,11.76439964048735,14,-4,2025-01-22
AR0170,C037,202034,12.357142857142858,12.0,11.76439964048735,14,29,2025-01-22
AR0494,C013,185463,4.25,4.5,0.8660254037844386,12,4,2025-01-22
AR0084,C009,181616,16.08,18.0,11.269131880199703,25,18,2025-01-22
AR0489,C009,204706,16.08,18.0,11.269131880199703,25,29,2025-01-23
AR0686,C016,230902,3.6875,4.0,1.01447851956888,16,5,2025-01-23
AR0282,C002,190065,0.5454545454545454,0.0,1.5075567228888185,11,-2,2025-01-24
AR0551,C006,356306,4.142857142857143,4.0,0.9492622930986468,14,4,2025-01-24
AR0576,C024,230020,11.105263157894736,11.0,2.5580968803238875,19,8,2025-01-24
AR0476,C008,145010,0.5,0.5,1.0801234497346437,10,1,2025-01-25
AR0006,C049,471465,3.5625,3.5,1.2093386622447824,16,2,2025-01-25
AR0571,C004,167511,3.333333333333333,3.5,1.3026778945578592,12,5,2025-01-26
AR0126,C030,312241,0.2857142857142857,1.0,1.3469542361512192,21,-1,2025-01-26
AR0564,C007,172154,0.6153846153846154,1.0,1.1929278784054478,13,1,2025-01-26
AR0248,C049,126723,3.5625,3.5,1.2093386622447824,16,4,2025-01-27
AR0206,C012,152371,-0.75,-1.0,1.2154310870109943,12,1,2025-01-27
AR0367,C047,170800,12.285714285714286,12.0,2.2168188275738085,21,12,2025-01-27
AR0595,C047,325934,12.285714285714286,12.0,2.2168188275738085,21,15,2025-01-27
AR0343,C017,86457,11.77777777777778,7.0,7.8545811119654525,9,21,2025-01-27
AR0039,C047,373036,12.285714285714286,12.0,2.2168188275738085,21,9,2025-01-28
AR0202,C003,310119,11.285714285714286,11.5,2.5548918817579205,14,12,2025-01-28
AR0246,C027,118347,4.0,4.5,1.1094003924504583,14,4,2025-01-28
AR0420,C038,204519,0.0625,0.0,1.4818344486930155,16,2,2025-01-29
AR0699,C030,314852,0.2857142857142857,1.0,1.3469542361512192,21,1,2025-01-30
AR0055,C011,286248,0.2727272727272727,1.0,1.5550504230351565,11,-2,2025-01-30
AR0422,C003,213324,11.285714285714286,11.5,2.5548918817579205,14,12,2025-01-30
AR0627,C042,496020,11.866666666666667,12.0,2.3864697976798483,15,9,2025-01-31
AR0670,C035,488828,11.727272727272728,12.0,1.902151891459201,11,9,2025-01-31
AR0140,C027,128440,4.0,4.5,1.1094003924504583,14,5,2025-02-01
AR0602,C048,390029,0.3333333333333333,0.0,0.7071067811865476,9,-1,2025-02-01
AR0428,C010,256203,0.2222222222222222,1.0,1.3017082793177757,9,-2,2025-02-01
AR0008,C039,221728,17.555555555555557,19.0,6.064468466220084,9,19,2025-02-02
AR0492,C009,395413,16.08,18.0,11.269131880199703,25,24,2025-02-02
AR0207,C008,230086,0.5,0.5,1.0801234497346437,10,1,2025-02-03
AR0486,C023,200775,16.76923076923077,15.0,8.603815492305785,13,10,2025-02-04
AR0418,C029,265849,0.0625,0.0,1.2893796958227628,16,1,2025-02-04
AR0056,C012,331969,-0.75,-1.0,1.2154310870109943,12,-2,2025-02-05
AR0278,C040,143087,-0.4736842105263157,-1.0,1.4286131990551607,19,0,2025-02-05
AR0226,C010,51267,0.2222222222222222,1.0,1.3017082793177757,9,-1,2025-02-06
AR0525,C009,257000,16.08,18.0,11.269131880199703,25,6,2025-02-07
AR0064,C021,24883,0.3333333333333333,0.0,1.4960264830861911,15,1,2025-02-07
AR0311,C030,93797,0.2857142857142857,1.0,1.3469542361512192,21,-1,2025-02-08
AR0615,C019,201594,13.941176470588236,16.0,13.320428804261962,17,23,2025-02-10
AR0021,C037,64907,12.357142857142858,12.0,11.76439964048735,14,26,2025-02-10
AR0352,C005,188879,3.1739130434782608,3.0,1.1928641587313162,23,3,2025-02-11
AR0136,C035,92547,11.727272727272728,12.0,1.902151891459201,11,10,2025-02-11
AR0437,C022,325523,3.6666666666666665,3.5,1.1547005383792517,12,3,2025-02-11
AR0384,C044,162660,0.4285714285714285,0.5,1.5045717874984443,14,1,2025-02-11
AR0275,C042,466570,11.866666666666667,12.0,2.3864697976798483,15,13,2025-02-11
AR0059,C040,239794,-0.4736842105263157,-1.0,1.4286131990551607,19,2,2025-02-11
AR0674,C025,377947,12.1875,12.0,2.1975364995072697,16,10,2025-02-11
AR0429,C022,284528,3.6666666666666665,3.5,1.1547005383792517,12,3,2025-02-13
AR0117,C043,168785,4.055555555555555,4.5,1.109966730938747,18,4,2025-02-13
AR0210,C020,150123,11.133333333333333,12.0,2.065591117977289,15,9,2025-02-13
AR0534,C040,54470,-0.4736842105263157,-1.0,1.4286131990551607,19,0,2025-02-14
AR0279,C015,247526,-0.5,-1.0,1.5055453054181618,16,-2,2025-02-16
AR0464,C028,497366,10.7,11.0,1.9465068427541912,10,11,2025-02-16
AR0313,C024,434545,11.105263157894736,11.0,2.5580968803238875,19,14,2025-02-16
AR0233,C002,140022,0.5454545454545454,0.0,1.5075567228888185,11,2,2025-02-16
AR0362,C005,456088,3.1739130434782608,3.0,1.1928641587313162,23,2,2025-02-16
AR0037,C013,70819,4.25,4.5,0.8660254037844386,12,5,2025-02-18
AR0581,C009,226518,16.08,18.0,11.269131880199703,25,18,2025-02-19
AR0303,C041,493643,11.357142857142858,11.5,2.4371213428059835,14,8,2025-02-19
AR0323,C008,143102,0.5,0.5,1.0801234497346437,10,2,2025-02-19
AR0327,C042,457095,11.866666666666667,12.0,2.3864697976798483,15,15,2025-02-20
AR0684,C005,331397,3.1739130434782608,3.0,1.1928641587313162,23,2,2025-02-21
AR0271,C029,295749,0.0625,0.0,1.2893796958227628,16,1,2025-02-21
AR0411,C016,96778,3.6875,4.0,1.01447851956888,16,4,2025-02-22
AR0461,C036,392978,0.3333333333333333,1.0,1.5430334996209192,15,2,2025-02-22
