vendor_id,avg_delay,median_delay,std_delay,invoice_count
V001,9.38888888888889,7.5,9.846700784520127,18
V002,10.666666666666666,11.0,2.3979157616563596,9
V003,9.0,8.5,8.759410523960659,12
V004,11.466666666666667,11.0,1.995232412766087,15
V005,4.2,4.0,0.7888106377466154,10
V006,10.642857142857142,10.5,2.134231724753677,14
V007,11.0,10.0,2.70801280154532,4
V008,3.6666666666666665,4.0,1.0,9
V009,11.857142857142858,13.0,2.853569193634026,7
V010,-0.42857142857142855,-1.0,1.7182493859684491,7
V011,3.5384615384615383,4.0,1.2659242088545832,13
V012,3.5833333333333335,3.5,1.2401124093721454,12
V013,3.5,3.5,1.1952286093343936,8
V014,12.25,14.0,10.652571179169502,12
V015,7.7,5.0,10.382142788889436,10
V016,12.0,12.0,1.8973665961010275,6
V017,3.142857142857143,3.0,0.6900655593423543,7
V018,13.0,14.0,2.1320071635561044,12
V019,0.16666666666666666,0.5,1.6966991126265962,12
V020,3.5714285714285716,4.0,1.2724180205607034,7
V021,1.4285714285714286,2.0,0.7867957924694432,7
V022,10.857142857142858,11.0,1.9518001458970662,7
V023,11.0,12.0,9.612491872558332,11
V024,11.666666666666666,12.0,2.1213203435596424,9
V025,0.5333333333333333,1.0,1.3557637102737474,15
V026,3.9166666666666665,4.5,1.3113721705515067,12
V027,11.875,12.5,2.356601669474803,8
V028,3.5,3.0,1.0190493307301363,14
V029,15.0,15.0,14.142135623730951,2
V030,12.909090909090908,15.0,10.290330854297597,11
