vendor_id,vendor_name,behavior_type
V001,Vendor 1,UNPREDICTABLE
V002,Vendor 2,VERY_LATE
V003,Vendor 3,UNPREDICTABLE
V004,Vendor 4,VERY_LATE
V005,Vendor 5,CONSISTENT_LATE
V006,Vendor 6,VERY_LATE
V007,Vendor 7,VERY_LATE
V008,Vendor 8,CONSISTENT_LATE
V009,Vendor 9,VERY_LATE
V010,Vendor 10,ON_TIME
V011,Vendor 11,CONSISTENT_LATE
V012,Vendor 12,CONSISTENT_LATE
V013,Vendor 13,CONSISTENT_LATE
V014,Vendor 14,UNPREDICTABLE
V015,Vendor 15,UNPREDICTABLE
V016,Vendor 16,VERY_LATE
V017,Vendor 17,CONSISTENT_LATE
V018,Vendor 18,VERY_LATE
V019,Vendor 19,ON_TIME
V020,Vendor 20,CONSISTENT_LATE
V021,Vendor 21,ON_TIME
V022,Vendor 22,VERY_LATE
V023,Vendor 23,UNPREDICTABLE
V024,Vendor 24,VERY_LATE
V025,Vendor 25,ON_TIME
V026,Vendor 26,CONSISTENT_LATE
V027,Vendor 27,VERY_LATE
V028,Vendor 28,CONSISTENT_LATE
V029,Vendor 29,UNPREDICTABLE
V030,Vendor 30,UNPREDICTABLE
