forecast_date,current_projected_cash,cash_after_30_days,cash_after_60_days,cash_after_90_days
2025-02-03,10234180.0,19392776.0,31675905.0,46694672.0
2025-02-04,10234180.0,20030549.0,32540591.0,46097683.0
2025-02-05,10927553.0,20369757.0,32605498.0,46097683.0
2025-02-06,11248527.0,20597077.0,33719361.0,45815126.0
2025-02-07,11248527.0,20551178.0,33933505.0,46574434.0
2025-02-08,11608174.0,21119975.0,34511656.0,47279519.0
2025-02-09,12027881.0,21615995.0,34964730.0,47306903.0
2025-02-10,12103652.0,22181342.0,35771665.0,47862786.0
2025-02-11,12103652.0,22561519.0,35808556.0,47310576.0
2025-02-12,12775837.0,23253974.0,35970444.0,47394622.0
2025-02-13,12564284.0,23416634.0,35983475.0,47572652.0
2025-02-14,12703204.0,23981866.0,36518164.0,47322764.0
2025-02-15,13140675.0,24259576.0,37794647.0,47710453.0
2025-02-16,13506722.0,24971785.0,37722282.0,47539986.0
2025-02-17,13506722.0,24923402.0,37990482.0,47542781.0
2025-02-18,13540091.0,24923402.0,38970202.0,47542781.0
2025-02-19,13570991.0,25357820.0,39602604.0,47890731.0
2025-02-20,14254812.0,25168381.0,40431432.0,48213932.0
2025-02-21,14482403.0,24492032.0,40647084.0,48129581.0
2025-02-22,14482403.0,25311109.0,41104605.0,47870282.0
2025-02-23,14328301.0,25225245.0,41104605.0,48033378.0
2025-02-24,14271315.0,25949620.0,41854640.0,48412892.0
2025-02-25,15440767.0,26316204.0,42468456.0,48412892.0
2025-02-26,15612921.0,27612260.0,42608007.0,48839578.0
2025-02-27,16315288.0,28056076.0,42859501.0,49206139.0
2025-02-28,16817701.0,29897357.0,44351325.0,48918364.0
2025-03-01,17846582.0,30121542.0,44955606.0,49702548.0
2025-03-02,18321672.0,30483853.0,45182424.0,50333173.0
2025-03-03,18577875.0,30667056.0,45991556.0,50498366.0
2025-03-04,19326286.0,31370314.0,46591933.0,51105424.0
2025-03-05,19392776.0,31675905.0,46694672.0,51296796.0
2025-03-06,20030549.0,32540591.0,46097683.0,52800866.0
2025-03-07,20369757.0,32605498.0,46097683.0,52518363.0
2025-03-08,20597077.0,33719361.0,45815126.0,52751947.0
2025-03-09,20551178.0,33933505.0,46574434.0,53244927.0
2025-03-10,21119975.0,34511656.0,47279519.0,52920378.0
2025-03-11,21615995.0,34964730.0,47306903.0,53091427.0
2025-03-12,22181342.0,35771665.0,47862786.0,54592440.0
2025-03-13,22561519.0,35808556.0,47310576.0,54742207.0
2025-03-14,23253974.0,35970444.0,47394622.0,55508117.0
2025-03-15,23416634.0,35983475.0,47572652.0,55971225.0
2025-03-16,23981866.0,36518164.0,47322764.0,57492032.0
2025-03-17,24259576.0,37794647.0,47710453.0,56767879.0
2025-03-18,24971785.0,37722282.0,47539986.0,57202150.0
2025-03-19,24923402.0,37990482.0,47542781.0,57202150.0
2025-03-20,24923402.0,38970202.0,47542781.0,57096711.0
2025-03-21,25357820.0,39602604.0,47890731.0,57248796.0
2025-03-22,25168381.0,40431432.0,48213932.0,57639793.0
2025-03-23,24492032.0,40647084.0,48129581.0,57505533.0
2025-03-24,25311109.0,41104605.0,47870282.0,57614795.0
2025-03-25,25225245.0,41104605.0,48033378.0,58014976.0
2025-03-26,25949620.0,41854640.0,48412892.0,57998008.0
2025-03-27,26316204.0,42468456.0,48412892.0,59326867.0
2025-03-28,27612260.0,42608007.0,48839578.0,59755267.0
2025-03-29,28056076.0,42859501.0,49206139.0,60849724.0
2025-03-30,29897357.0,44351325.0,48918364.0,60641980.0
2025-03-31,30121542.0,44955606.0,49702548.0,61286984.0
2025-04-01,30483853.0,45182424.0,50333173.0,61270461.0
2025-04-02,30667056.0,45991556.0,50498366.0,61852343.0
2025-04-03,31370314.0,46591933.0,51105424.0,61972050.0
2025-04-04,31675905.0,46694672.0,51296796.0,62730694.0
2025-04-05,32540591.0,46097683.0,52800866.0,62526675.0
2025-04-06,32605498.0,46097683.0,52518363.0,62669789.0
2025-04-07,33719361.0,45815126.0,52751947.0,62816734.0
2025-04-08,33933505.0,46574434.0,53244927.0,63162050.0
2025-04-09,34511656.0,47279519.0,52920378.0,63324666.0
2025-04-10,34964730.0,47306903.0,53091427.0,63716145.0
2025-04-11,35771665.0,47862786.0,54592440.0,64204051.0
2025-04-12,35808556.0,47310576.0,54742207.0,64638280.0
2025-04-13,35970444.0,47394622.0,55508117.0,64711858.0
2025-04-14,35983475.0,47572652.0,55971225.0,65032887.0
2025-04-15,36518164.0,47322764.0,57492032.0,65480039.0
2025-04-16,37794647.0,47710453.0,56767879.0,66195794.0
2025-04-17,37722282.0,47539986.0,57202150.0,66195794.0
2025-04-18,37990482.0,47542781.0,57202150.0,66622764.0
2025-04-19,38970202.0,47542781.0,57096711.0,67834937.0
2025-04-20,39602604.0,47890731.0,57248796.0,68327691.0
2025-04-21,40431432.0,48213932.0,57639793.0,69659471.0
2025-04-22,40647084.0,48129581.0,57505533.0,70345173.0
2025-04-23,41104605.0,47870282.0,57614795.0,71453332.0
2025-04-24,41104605.0,48033378.0,58014976.0,71757676.0
2025-04-25,41854640.0,48412892.0,57998008.0,72107832.0
2025-04-26,42468456.0,48412892.0,59326867.0,71925346.0
2025-04-27,42608007.0,48839578.0,59755267.0,72282797.0
2025-04-28,42859501.0,49206139.0,60849724.0,72181869.0
2025-04-29,44351325.0,48918364.0,60641980.0,72639503.0
2025-04-30,44955606.0,49702548.0,61286984.0,72827233.0
