date,lower_cash,base_cash,upper_cash
2025-01-31,10000000.0,10000000.0,10234180.0
2025-02-01,10000000.0,10000000.0,10234180.0
2025-02-02,10000000.0,10000000.0,10927553.0
2025-02-03,9710968.0,10234180.0,11248527.0
2025-02-04,9710968.0,10234180.0,11248527.0
2025-02-05,9710968.0,10927553.0,11608174.0
2025-02-06,9546513.0,11248527.0,12027881.0
2025-02-07,9278005.0,11248527.0,12392684.0
2025-02-08,9971378.0,11608174.0,12392684.0
2025-02-09,10292352.0,12027881.0,13064869.0
2025-02-10,10292352.0,12103652.0,13251951.0
2025-02-11,10406210.0,12103652.0,13659379.0
2025-02-12,10562806.0,12775837.0,14096850.0
2025-02-13,10927609.0,12564284.0,14462897.0
2025-02-14,10927609.0,12703204.0,14462897.0
2025-02-15,11599794.0,13140675.0,14742055.0
2025-02-16,11632774.0,13506722.0,15036066.0
2025-02-17,11983216.0,13506722.0,15430855.0
2025-02-18,11922331.0,13540091.0,15658446.0
2025-02-19,12288378.0,13570991.0,15658446.0
2025-02-20,12288378.0,14254812.0,15259811.0
2025-02-21,12326133.0,14482403.0,14991303.0
2025-02-22,12453466.0,14482403.0,16659111.0
2025-02-23,13137287.0,14328301.0,16831265.0
2025-02-24,13364878.0,14271315.0,17533632.0
2025-02-25,13266804.0,15440767.0,18031659.0
2025-02-26,13162776.0,15612921.0,18964107.0
2025-02-27,12972645.0,16315288.0,19439197.0
2025-02-28,14350261.0,16817701.0,19695400.0
2025-03-01,14390454.0,17846582.0,20541885.0
2025-03-02,14555206.0,18321672.0,20558301.0
2025-03-03,15060966.0,18577875.0,21329219.0
2025-03-04,16256525.0,19326286.0,21460263.0
2025-03-05,16731615.0,19392776.0,21819544.0
2025-03-06,16879167.0,20030549.0,22311260.0
2025-03-07,17725652.0,20369757.0,22876710.0
2025-03-08,17896170.0,20597077.0,23206052.0
2025-03-09,18652313.0,20551178.0,23771399.0
2025-03-10,19123018.0,21119975.0,24260227.0
2025-03-11,19042767.0,21615995.0,24854608.0
2025-03-12,18972587.0,22181342.0,24913240.0
2025-03-13,19779440.0,22561519.0,25360102.0
2025-03-14,19881939.0,23253974.0,25506315.0
2025-03-15,20114745.0,23416634.0,26526095.0
2025-03-16,19927224.0,23981866.0,26501993.0
2025-03-17,20593068.0,24259576.0,26263937.0
2025-03-18,20599045.0,24971785.0,27091876.0
2025-03-19,21236038.0,24923402.0,27234978.0
2025-03-20,21672443.0,24923402.0,27126327.0
2025-03-21,22824184.0,25357820.0,27972015.0
2025-03-22,23337697.0,25168381.0,28042834.0
2025-03-23,23337697.0,24492032.0,28695448.0
2025-03-24,23838028.0,25311109.0,28903337.0
2025-03-25,23741970.0,25225245.0,29759861.0
2025-03-26,23457042.0,25949620.0,29641781.0
2025-03-27,24302730.0,26316204.0,31483062.0
2025-03-28,24373549.0,27612260.0,31641334.0
