date,expected_inflow,expected_outflow,net_cash_flow,projected_cash_balance
2025-02-03,234180.0,0.0,234180.0,10234180.0
2025-02-04,0.0,0.0,0.0,10234180.0
2025-02-05,693373.0,0.0,693373.0,10927553.0
2025-02-06,320974.0,0.0,320974.0,11248527.0
2025-02-07,0.0,0.0,0.0,11248527.0
2025-02-08,359647.0,0.0,359647.0,11608174.0
2025-02-09,419707.0,0.0,419707.0,12027881.0
2025-02-10,364803.0,289032.0,75771.0,12103652.0
2025-02-11,0.0,0.0,0.0,12103652.0
2025-02-12,672185.0,0.0,672185.0,12775837.0
2025-02-13,187082.0,398635.0,-211553.0,12564284.0
2025-02-14,407428.0,268508.0,138920.0,12703204.0
2025-02-15,437471.0,0.0,437471.0,13140675.0
2025-02-16,366047.0,0.0,366047.0,13506722.0
2025-02-17,0.0,0.0,0.0,13506722.0
2025-02-18,279158.0,245789.0,33369.0,13540091.0
2025-02-19,294011.0,263111.0,30900.0,13570991.0
2025-02-20,683821.0,0.0,683821.0,14254812.0
2025-02-21,227591.0,0.0,227591.0,14482403.0
2025-02-22,0.0,0.0,0.0,14482403.0
2025-02-23,0.0,154102.0,-154102.0,14328301.0
2025-02-24,0.0,56986.0,-56986.0,14271315.0
2025-02-25,1667808.0,498356.0,1169452.0,15440767.0
2025-02-26,172154.0,0.0,172154.0,15612921.0
2025-02-27,702367.0,0.0,702367.0,16315288.0
2025-02-28,743816.0,241403.0,502413.0,16817701.0
2025-03-01,1195559.0,166678.0,1028881.0,17846582.0
2025-03-02,475090.0,0.0,475090.0,18321672.0
2025-03-03,256203.0,0.0,256203.0,18577875.0
2025-03-04,846485.0,98074.0,748411.0,19326286.0
2025-03-05,170518.0,104028.0,66490.0,19392776.0
2025-03-06,827904.0,190131.0,637773.0,20030549.0
2025-03-07,629400.0,290192.0,339208.0,20369757.0
2025-03-08,359281.0,131961.0,227320.0,20597077.0
2025-03-09,491716.0,537615.0,-45899.0,20551178.0
2025-03-10,806853.0,238056.0,568797.0,21119975.0
2025-03-11,496020.0,0.0,496020.0,21615995.0
2025-03-12,565347.0,0.0,565347.0,22181342.0
2025-03-13,488828.0,108651.0,380177.0,22561519.0
2025-03-14,692455.0,0.0,692455.0,23253974.0
2025-03-15,162660.0,0.0,162660.0,23416634.0
2025-03-16,636993.0,71761.0,565232.0,23981866.0
2025-03-17,436405.0,158695.0,277710.0,24259576.0
2025-03-18,1151741.0,439532.0,712209.0,24971785.0
