invoice_id,vendor_id,amount,due_date,expected_delay,expected_payment_date,expected_outflow
AP0030,V001,289032,2025-02-03,7.31,2025-02-10,289032
AP0175,V001,190131,2025-02-04,30.0,2025-03-06,190131
AP0293,V001,96905,2025-04-16,16.0,2025-05-02,96905
AP0173,V001,259984,2025-05-20,11.33,2025-05-31,259984
AP0017,V001,228931,2025-06-13,8.25,2025-06-21,228931
AP0067,V001,226955,2025-06-29,9.2,2025-07-08,226955
AP0061,V001,279644,2025-07-07,10.83,2025-07-18,279644
AP0107,V001,77437,2025-07-25,11.86,2025-08-06,77437
AP0230,V001,115209,2025-08-07,11.0,2025-08-18,115209
AP0076,V001,184177,2025-08-21,11.22,2025-09-01,184177
AP0234,V001,22535,2025-08-28,12.0,2025-09-09,22535
AP0167,V001,116073,2025-09-07,11.73,2025-09-19,116073
AP0033,V001,271105,2025-10-15,11.0,2025-10-26,271105
AP0290,V001,299693,2025-10-27,10.62,2025-11-07,299693
AP0112,V001,147490,2025-12-11,9.5,2025-12-21,147490
AP0236,V001,269458,2026-01-02,10.4,2026-01-12,269458
AP0286,V001,252696,2026-01-26,10.62,2026-02-06,252696
AP0210,V001,106519,2026-01-28,10.24,2026-02-07,106519
AP0199,V002,218653,2025-03-02,7.31,2025-03-09,218653
AP0025,V002,35435,2025-03-10,12.0,2025-03-22,35435
AP0045,V002,156996,2025-03-10,12.0,2025-03-22,156996
AP0273,V002,156683,2025-03-16,9.33,2025-03-25,156683
AP0051,V002,239160,2025-03-22,10.5,2025-04-01,239160
AP0207,V002,55200,2025-06-05,10.6,2025-06-16,55200
AP0004,V002,207744,2025-06-17,11.17,2025-06-28,207744
AP0171,V002,170174,2025-08-21,10.71,2025-09-01,170174
AP0041,V002,19440,2025-12-23,10.75,2026-01-03,19440
AP0198,V003,147460,2025-02-07,7.31,2025-02-14,147460
AP0289,V003,131961,2025-02-28,8.0,2025-03-08,131961
AP0184,V003,83407,2025-03-23,8.5,2025-03-31,83407
AP0063,V003,235957,2025-05-06,6.33,2025-05-12,235957
AP0177,V003,210838,2025-05-28,10.5,2025-06-07,210838
AP0106,V003,38439,2025-07-03,8.4,2025-07-11,38439
AP0265,V003,85374,2025-07-19,7.33,2025-07-26,85374
AP0037,V003,222875,2025-08-10,5.86,2025-08-16,222875
AP0228,V003,158010,2025-09-26,8.12,2025-10-04,158010
AP0042,V003,273116,2025-10-13,8.78,2025-10-22,273116
AP0204,V003,134014,2025-10-19,9.5,2025-10-29,134014
AP0134,V003,34032,2025-11-16,9.0,2025-11-25,34032
AP0260,V004,42332,2025-02-06,7.31,2025-02-13,42332
AP0065,V004,56986,2025-02-13,11.0,2025-02-24,56986
AP0034,V004,284928,2025-03-21,12.0,2025-04-02,284928
AP0166,V004,277564,2025-04-21,11.33,2025-05-02,277564
AP0249,V004,282557,2025-04-25,12.25,2025-05-07,282557
AP0237,V004,287775,2025-05-16,12.8,2025-05-29,287775
AP0193,V004,271925,2025-06-03,12.5,2025-06-15,271925
AP0282,V004,136433,2025-06-06,12.0,2025-06-18,136433
AP0093,V004,196126,2025-06-07,12.0,2025-06-19,196126
AP0097,V004,126392,2025-06-12,11.78,2025-06-24,126392
AP0208,V004,38850,2025-09-20,11.7,2025-10-02,38850
AP0259,V004,63428,2025-09-24,11.73,2025-10-06,63428
AP0116,V004,140426,2025-11-01,11.58,2025-11-13,140426
AP0138,V004,90840,2025-11-20,11.69,2025-12-02,90840
AP0165,V004,326238,2025-12-17,11.71,2025-12-29,326238
AP0131,V005,211297,2025-05-10,7.31,2025-05-17,211297
AP0018,V005,182944,2025-05-11,5.0,2025-05-16,182944
AP0261,V005,220020,2025-05-12,4.0,2025-05-16,220020
AP0070,V005,167879,2025-06-17,4.0,2025-06-21,167879
AP0203,V005,53828,2025-06-22,4.0,2025-06-26,53828
AP0059,V005,90885,2025-08-13,4.0,2025-08-17,90885
AP0195,V005,230653,2025-08-17,4.17,2025-08-21,230653
AP0274,V005,114573,2025-09-02,4.14,2025-09-06,114573
AP0155,V005,196150,2025-11-22,4.0,2025-11-26,196150
AP0174,V005,167165,2025-11-30,4.11,2025-12-04,167165
AP0222,V006,299860,2025-02-18,7.31,2025-02-25,299860
AP0218,V006,63951,2025-06-10,14.0,2025-06-24,63951
AP0046,V006,20940,2025-07-11,11.5,2025-07-23,20940
AP0129,V006,283422,2025-07-11,11.5,2025-07-23,283422
AP0022,V006,113554,2025-07-30,10.5,2025-08-09,113554
AP0212,V006,76548,2025-08-09,10.4,2025-08-19,76548
AP0297,V006,265433,2025-09-11,10.67,2025-09-22,265433
AP0128,V006,185646,2025-10-08,11.0,2025-10-19,185646
AP0211,V006,220538,2025-10-12,10.88,2025-10-23,220538
AP0111,V006,307530,2025-12-24,11.0,2026-01-04,307530
AP0056,V006,272047,2026-01-14,11.3,2026-01-25,272047
AP0085,V006,387933,2026-01-15,11.09,2026-01-26,387933
AP0253,V006,220344,2026-01-17,10.83,2026-01-28,220344
AP0298,V006,256202,2026-01-28,10.62,2026-02-08,256202
AP0248,V007,77202,2025-04-10,7.31,2025-04-17,77202
AP0254,V007,100928,2025-07-17,10.0,2025-07-27,100928
AP0161,V007,121071,2025-09-07,9.5,2025-09-17,121071
AP0264,V007,315230,2025-12-27,11.33,2026-01-07,315230
AP0153,V008,205701,2025-04-15,7.31,2025-04-22,205701
AP0035,V008,286014,2025-05-09,3.0,2025-05-12,286014
AP0044,V008,259299,2025-05-19,3.5,2025-05-23,259299
AP0089,V008,90815,2025-06-09,3.67,2025-06-13,90815
AP0245,V008,146834,2025-06-29,4.0,2025-07-03,146834
AP0123,V008,82011,2025-07-06,4.0,2025-07-10,82011
AP0223,V008,161185,2025-07-14,3.83,2025-07-18,161185
AP0219,V008,13047,2025-10-18,4.0,2025-10-22,13047
AP0074,V008,350925,2025-12-17,3.75,2025-12-21,350925
AP0170,V009,204953,2025-03-14,7.31,2025-03-21,204953
AP0162,V009,182486,2025-07-15,10.0,2025-07-25,182486
AP0013,V009,278863,2025-08-03,11.5,2025-08-15,278863
AP0083,V009,201373,2025-08-20,12.67,2025-09-02,201373
AP0270,V009,87925,2025-09-16,11.75,2025-09-28,87925
AP0118,V009,346619,2026-01-09,11.0,2026-01-20,346619
AP0215,V009,65527,2026-01-30,11.33,2026-02-10,65527
AP0135,V010,154102,2025-02-16,7.31,2025-02-23,154102
AP0048,V010,156487,2025-04-24,-1.0,2025-04-23,156487
AP0288,V010,307198,2025-04-30,0.5,2025-04-30,307198
AP0101,V010,55012,2025-08-31,-0.33,2025-08-31,55012
AP0300,V010,213734,2026-01-18,-0.75,2026-01-17,213734
AP0081,V010,347657,2026-01-21,-0.8,2026-01-20,347657
AP0206,V010,311178,2026-01-23,-0.33,2026-01-23,311178
AP0229,V011,299979,2025-03-16,7.31,2025-03-23,299979
AP0186,V011,160897,2025-04-12,5.0,2025-04-17,160897
AP0080,V011,218792,2025-05-01,4.5,2025-05-05,218792
AP0292,V011,179653,2025-05-01,4.5,2025-05-05,179653
AP0117,V011,249888,2025-05-11,3.75,2025-05-15,249888
AP0296,V011,206006,2025-07-04,3.4,2025-07-07,206006
AP0060,V011,65863,2025-08-03,3.33,2025-08-06,65863
AP0250,V011,73300,2025-08-27,3.14,2025-08-30,73300
AP0103,V011,118458,2025-09-21,3.25,2025-09-24,118458
