invoice_id,customer_id,amount,due_date,predicted_delay,predicted_payment_date,expected_inflow
AR0081,C001,59449,2025-03-29,-0.53,2025-03-28,59449
AR0272,C001,270187,2025-04-14,-0.68,2025-04-13,270187
AR0391,C001,178030,2025-05-15,-0.76,2025-05-14,178030
AR0668,C001,323201,2025-05-22,-1.41,2025-05-21,323201
AR0644,C001,221103,2025-06-13,-0.32,2025-06-13,221103
AR0014,C001,282451,2025-06-14,-1.16,2025-06-13,282451
AR0314,C001,301318,2025-06-15,-1.31,2025-06-14,301318
AR0632,C001,365441,2025-07-02,1.15,2025-07-03,365441
AR0143,C001,203042,2025-07-30,0.61,2025-07-31,203042
AR0624,C001,133647,2025-11-08,0.6,2025-11-09,133647
AR0481,C001,266470,2025-12-11,-0.4,2025-12-11,266470
AR0282,C002,190065,2025-02-23,1.98,2025-02-25,190065
AR0233,C002,140022,2025-03-18,1.16,2025-03-19,140022
AR0098,C002,551793,2025-03-31,0.03,2025-03-31,551793
AR0512,C002,534689,2025-04-14,1.23,2025-04-15,534689
AR0375,C002,163272,2025-05-03,0.04,2025-05-03,163272
AR0473,C002,133065,2025-06-11,-0.69,2025-06-10,133065
AR0532,C002,310466,2025-08-03,1.54,2025-08-05,310466
AR0029,C002,403538,2025-11-28,0.68,2025-11-29,403538
AR0374,C002,474360,2025-12-08,0.52,2025-12-09,474360
AR0318,C002,628670,2025-12-14,0.2,2025-12-14,628670
AR0479,C002,377266,2025-12-20,0.44,2025-12-20,377266
AR0078,C003,194879,2025-02-01,8.24,2025-02-09,194879
AR0322,C003,179574,2025-02-19,17.11,2025-03-08,179574
AR0202,C003,310119,2025-02-27,11.31,2025-03-10,310119
AR0422,C003,213324,2025-03-01,11.4,2025-03-12,213324
AR0221,C003,171049,2025-05-29,11.3,2025-06-09,171049
AR0120,C003,269108,2025-06-05,9.38,2025-06-14,269108
AR0430,C003,390997,2025-06-06,13.64,2025-06-20,390997
AR0493,C003,125691,2025-06-30,9.51,2025-07-10,125691
AR0085,C003,130140,2025-08-02,11.34,2025-08-13,130140
AR0630,C003,433118,2025-08-22,14.52,2025-09-06,433118
AR0669,C003,200632,2025-09-04,9.63,2025-09-14,200632
AR0243,C003,66168,2025-09-20,12.2,2025-10-02,66168
AR0598,C003,503456,2025-11-20,11.36,2025-12-01,503456
AR0103,C003,323204,2026-01-28,10.89,2026-02-08,323204
AR0571,C004,167511,2025-02-25,4.4,2025-03-01,167511
AR0383,C004,117907,2025-04-20,2.72,2025-04-23,117907
AR0048,C004,251494,2025-04-25,2.7,2025-04-28,251494
AR0053,C004,57466,2025-07-10,2.58,2025-07-13,57466
AR0335,C004,169855,2025-07-20,3.07,2025-07-23,169855
AR0694,C004,410874,2025-07-26,4.72,2025-07-31,410874
AR0157,C004,158189,2025-07-29,2.6,2025-08-01,158189
AR0466,C004,283196,2025-08-21,4.1,2025-08-25,283196
AR0040,C004,401793,2025-08-25,3.78,2025-08-29,401793
AR0460,C004,353557,2025-12-25,3.67,2025-12-29,353557
AR0045,C004,394449,2025-12-30,3.66,2026-01-03,394449
AR0648,C004,106577,2026-01-07,3.74,2026-01-11,106577
AR0032,C005,470696,2025-02-16,4.49,2025-02-20,470696
AR0352,C005,188879,2025-03-13,3.5,2025-03-17,188879
AR0362,C005,456088,2025-03-18,2.74,2025-03-21,456088
AR0684,C005,331397,2025-03-23,2.67,2025-03-26,331397
AR0353,C005,188815,2025-04-05,3.74,2025-04-09,188815
AR0537,C005,214144,2025-04-05,3.42,2025-04-08,214144
AR0378,C005,469753,2025-04-13,2.51,2025-04-16,469753
AR0514,C005,428166,2025-05-31,3.98,2025-06-04,428166
AR0259,C005,425104,2025-06-21,4.46,2025-06-25,425104
AR0421,C005,301398,2025-07-08,4.34,2025-07-12,301398
AR0435,C005,79980,2025-07-18,4.54,2025-07-23,79980
AR0397,C005,471812,2025-08-22,2.46,2025-08-24,471812
AR0044,C005,443636,2025-09-14,2.66,2025-09-17,443636
AR0292,C005,201175,2025-09-14,4.12,2025-09-18,201175
AR0273,C005,429744,2025-09-28,3.88,2025-10-02,429744
AR0408,C005,404790,2025-10-19,2.69,2025-10-22,404790
AR0033,C005,166499,2025-10-21,3.7,2025-10-25,166499
AR0022,C005,484744,2025-10-30,3.6,2025-11-03,484744
AR0658,C005,102477,2025-11-15,2.96,2025-11-18,102477
AR0208,C005,455013,2025-11-22,2.88,2025-11-25,455013
AR0167,C005,496704,2025-11-30,3.39,2025-12-03,496704
AR0423,C005,615049,2025-12-27,3.08,2025-12-30,615049
AR0510,C005,460512,2026-01-09,3.02,2026-01-12,460512
AR0551,C006,356306,2025-02-23,5.8,2025-03-01,356306
AR0118,C006,372738,2025-05-31,3.88,2025-06-04,372738
AR0046,C006,107194,2025-06-01,4.66,2025-06-06,107194
AR0186,C006,397526,2025-06-03,4.29,2025-06-07,397526
AR0545,C006,122918,2025-06-08,3.9,2025-06-12,122918
AR0180,C006,482228,2025-06-22,4.27,2025-06-26,482228
AR0569,C006,284998,2025-08-20,4.61,2025-08-25,284998
AR0363,C006,70627,2025-09-09,3.88,2025-09-13,70627
AR0547,C006,409471,2025-10-15,3.59,2025-10-19,409471
AR0379,C006,152709,2025-10-29,4.62,2025-11-03,152709
AR0077,C006,314697,2025-12-21,4.03,2025-12-25,314697
AR0151,C006,318130,2025-12-26,3.46,2025-12-29,318130
AR0442,C006,482965,2025-12-27,4.08,2025-12-31,482965
AR0334,C006,170565,2026-01-05,3.89,2026-01-09,170565
AR0204,C007,320974,2025-02-06,0.48,2025-02-06,320974
AR0564,C007,172154,2025-02-25,0.88,2025-02-26,172154
AR0199,C007,175318,2025-05-10,-0.55,2025-05-09,175318
AR0041,C007,120448,2025-06-07,-0.42,2025-06-07,120448
AR0633,C007,194570,2025-07-21,0.6,2025-07-22,194570
