date,expected_inflow,expected_outflow,net_cash_flow,projected_cash_balance,lower_cash,base_cash,upper_cash,cash_buffer,risk_status,cash_after_30_days,cash_after_60_days,cash_after_90_days
2025-01-31,,,,,10000000.0,10000000.0,10234180.0,0.0,SAFE,,,
2025-02-01,,,,,10000000.0,10000000.0,10234180.0,0.0,SAFE,,,
2025-02-02,,,,,10000000.0,10000000.0,10927553.0,0.0,SAFE,,,
2025-02-03,234180.0,0.0,234180.0,10234180.0,9710968.0,10234180.0,11248527.0,-289032.0,WARNING,19392776.0,31675905.0,46694672.0
2025-02-04,0.0,0.0,0.0,10234180.0,9710968.0,10234180.0,11248527.0,-289032.0,WARNING,20030549.0,32540591.0,46097683.0
2025-02-05,693373.0,0.0,693373.0,10927553.0,9710968.0,10927553.0,11608174.0,-289032.0,WARNING,20369757.0,32605498.0,46097683.0
2025-02-06,320974.0,0.0,320974.0,11248527.0,9546513.0,11248527.0,12027881.0,-453487.0,WARNING,20597077.0,33719361.0,45815126.0
2025-02-07,0.0,0.0,0.0,11248527.0,9278005.0,11248527.0,12392684.0,-721995.0,WARNING,20551178.0,33933505.0,46574434.0
2025-02-08,359647.0,0.0,359647.0,11608174.0,9971378.0,11608174.0,12392684.0,-28622.0,WARNING,21119975.0,34511656.0,47279519.0
2025-02-09,419707.0,0.0,419707.0,12027881.0,10292352.0,12027881.0,13064869.0,292352.0,SAFE,21615995.0,34964730.0,47306903.0
2025-02-10,364803.0,289032.0,75771.0,12103652.0,10292352.0,12103652.0,13251951.0,292352.0,SAFE,22181342.0,35771665.0,47862786.0
2025-02-11,0.0,0.0,0.0,12103652.0,10406210.0,12103652.0,13659379.0,406210.0,SAFE,22561519.0,35808556.0,47310576.0
2025-02-12,672185.0,0.0,672185.0,12775837.0,10562806.0,12775837.0,14096850.0,562806.0,SAFE,23253974.0,35970444.0,47394622.0
2025-02-13,187082.0,398635.0,-211553.0,12564284.0,10927609.0,12564284.0,14462897.0,927609.0,SAFE,23416634.0,35983475.0,47572652.0
2025-02-14,407428.0,268508.0,138920.0,12703204.0,10927609.0,12703204.0,14462897.0,927609.0,SAFE,23981866.0,36518164.0,47322764.0
2025-02-15,437471.0,0.0,437471.0,13140675.0,11599794.0,13140675.0,14742055.0,1599794.0,SAFE,24259576.0,37794647.0,47710453.0
2025-02-16,366047.0,0.0,366047.0,13506722.0,11632774.0,13506722.0,15036066.0,1632774.0,SAFE,24971785.0,37722282.0,47539986.0
2025-02-17,0.0,0.0,0.0,13506722.0,11983216.0,13506722.0,15430855.0,1983216.0,SAFE,24923402.0,37990482.0,47542781.0
2025-02-18,279158.0,245789.0,33369.0,13540091.0,11922331.0,13540091.0,15658446.0,1922331.0,SAFE,24923402.0,38970202.0,47542781.0
2025-02-19,294011.0,263111.0,30900.0,13570991.0,12288378.0,13570991.0,15658446.0,2288378.0,SAFE,25357820.0,39602604.0,47890731.0
2025-02-20,683821.0,0.0,683821.0,14254812.0,12288378.0,14254812.0,15259811.0,2288378.0,SAFE,25168381.0,40431432.0,48213932.0
2025-02-21,227591.0,0.0,227591.0,14482403.0,12326133.0,14482403.0,14991303.0,2326133.0,SAFE,24492032.0,40647084.0,48129581.0
2025-02-22,0.0,0.0,0.0,14482403.0,12453466.0,14482403.0,16659111.0,2453466.0,SAFE,25311109.0,41104605.0,47870282.0
2025-02-23,0.0,154102.0,-154102.0,14328301.0,13137287.0,14328301.0,16831265.0,3137287.0,SAFE,25225245.0,41104605.0,48033378.0
2025-02-24,0.0,56986.0,-56986.0,14271315.0,13364878.0,14271315.0,17533632.0,3364878.0,SAFE,25949620.0,41854640.0,48412892.0
2025-02-25,1667808.0,498356.0,1169452.0,15440767.0,13266804.0,15440767.0,18031659.0,3266804.0,SAFE,26316204.0,42468456.0,48412892.0
2025-02-26,172154.0,0.0,172154.0,15612921.0,13162776.0,15612921.0,18964107.0,3162776.0,SAFE,27612260.0,42608007.0,48839578.0
2025-02-27,702367.0,0.0,702367.0,16315288.0,12972645.0,16315288.0,19439197.0,2972645.0,SAFE,28056076.0,42859501.0,49206139.0
2025-02-28,743816.0,241403.0,502413.0,16817701.0,14350261.0,16817701.0,19695400.0,4350261.0,SAFE,29897357.0,44351325.0,48918364.0
2025-03-01,1195559.0,166678.0,1028881.0,17846582.0,14390454.0,17846582.0,20541885.0,4390454.0,SAFE,30121542.0,44955606.0,49702548.0
2025-03-02,475090.0,0.0,475090.0,18321672.0,14555206.0,18321672.0,20558301.0,4555206.0,SAFE,30483853.0,45182424.0,50333173.0
2025-03-03,256203.0,0.0,256203.0,18577875.0,15060966.0,18577875.0,21329219.0,5060966.0,SAFE,30667056.0,45991556.0,50498366.0
2025-03-04,846485.0,98074.0,748411.0,19326286.0,16256525.0,19326286.0,21460263.0,6256525.0,SAFE,31370314.0,46591933.0,51105424.0
2025-03-05,170518.0,104028.0,66490.0,19392776.0,16731615.0,19392776.0,21819544.0,6731615.0,SAFE,31675905.0,46694672.0,51296796.0
2025-03-06,827904.0,190131.0,637773.0,20030549.0,16879167.0,20030549.0,22311260.0,6879167.0,SAFE,32540591.0,46097683.0,52800866.0
2025-03-07,629400.0,290192.0,339208.0,20369757.0,17725652.0,20369757.0,22876710.0,7725652.0,SAFE,32605498.0,46097683.0,52518363.0
2025-03-08,359281.0,131961.0,227320.0,20597077.0,17896170.0,20597077.0,23206052.0,7896170.0,SAFE,33719361.0,45815126.0,52751947.0
2025-03-09,491716.0,537615.0,-45899.0,20551178.0,18652313.0,20551178.0,23771399.0,8652313.0,SAFE,33933505.0,46574434.0,53244927.0
2025-03-10,806853.0,238056.0,568797.0,21119975.0,19123018.0,21119975.0,24260227.0,9123018.0,SAFE,34511656.0,47279519.0,52920378.0
2025-03-11,496020.0,0.0,496020.0,21615995.0,19042767.0,21615995.0,24854608.0,9042767.0,SAFE,34964730.0,47306903.0,53091427.0
2025-03-12,565347.0,0.0,565347.0,22181342.0,18972587.0,22181342.0,24913240.0,8972587.0,SAFE,35771665.0,47862786.0,54592440.0
2025-03-13,488828.0,108651.0,380177.0,22561519.0,19779440.0,22561519.0,25360102.0,9779440.0,SAFE,35808556.0,47310576.0,54742207.0
2025-03-14,692455.0,0.0,692455.0,23253974.0,19881939.0,23253974.0,25506315.0,9881939.0,SAFE,35970444.0,47394622.0,55508117.0
2025-03-15,162660.0,0.0,162660.0,23416634.0,20114745.0,23416634.0,26526095.0,10114745.0,SAFE,35983475.0,47572652.0,55971225.0
2025-03-16,636993.0,71761.0,565232.0,23981866.0,19927224.0,23981866.0,26501993.0,9927224.0,SAFE,36518164.0,47322764.0,57492032.0
2025-03-17,436405.0,158695.0,277710.0,24259576.0,20593068.0,24259576.0,26263937.0,10593068.0,SAFE,37794647.0,47710453.0,56767879.0
2025-03-18,1151741.0,439532.0,712209.0,24971785.0,20599045.0,24971785.0,27091876.0,10599045.0,SAFE,37722282.0,47539986.0,57202150.0
2025-03-19,513513.0,561896.0,-48383.0,24923402.0,21236038.0,24923402.0,27234978.0,11236038.0,SAFE,37990482.0,47542781.0,57202150.0
2025-03-20,0.0,0.0,0.0,24923402.0,21672443.0,24923402.0,27126327.0,11672443.0,SAFE,38970202.0,47542781.0,57096711.0
2025-03-21,827939.0,393521.0,434418.0,25357820.0,22824184.0,25357820.0,27972015.0,12824184.0,SAFE,39602604.0,47890731.0,57248796.0
2025-03-22,143102.0,332541.0,-189439.0,25168381.0,23337697.0,25168381.0,28042834.0,13337697.0,SAFE,40431432.0,48213932.0,57639793.0
2025-03-23,0.0,676349.0,-676349.0,24492032.0,23337697.0,24492032.0,28695448.0,13337697.0,SAFE,40647084.0,48129581.0,57505533.0
2025-03-24,845688.0,26611.0,819077.0,25311109.0,23838028.0,25311109.0,28903337.0,13838028.0,SAFE,41104605.0,47870282.0,57614795.0
2025-03-25,70819.0,156683.0,-85864.0,25225245.0,23741970.0,25225245.0,29759861.0,13741970.0,SAFE,41104605.0,48033378.0,58014976.0
2025-03-26,724375.0,0.0,724375.0,25949620.0,23457042.0,25949620.0,29641781.0,13457042.0,SAFE,41854640.0,48412892.0,57998008.0
2025-03-27,366584.0,0.0,366584.0,26316204.0,24302730.0,26316204.0,31483062.0,14302730.0,SAFE,42468456.0,48412892.0,59326867.0
2025-03-28,1296056.0,0.0,1296056.0,27612260.0,24373549.0,27612260.0,31641334.0,14373549.0,SAFE,42608007.0,48839578.0,59755267.0
2025-03-29,443816.0,0.0,443816.0,28056076.0,25097924.0,28056076.0,31910264.0,15097924.0,SAFE,42859501.0,49206139.0,60849724.0
2025-03-30,1841281.0,0.0,1841281.0,29897357.0,25464508.0,29897357.0,31702046.0,15464508.0,SAFE,44351325.0,48918364.0,60641980.0
2025-03-31,551793.0,327608.0,224185.0,30121542.0,26760564.0,30121542.0,32378693.0,16760564.0,SAFE,44955606.0,49702548.0,61286984.0
2025-04-01,601471.0,239160.0,362311.0,30483853.0,27204380.0,30483853.0,32527601.0,17204380.0,SAFE,45182424.0,50333173.0,61270461.0
2025-04-02,468131.0,284928.0,183203.0,30667056.0,28905884.0,30667056.0,33392287.0,18905884.0,SAFE,45991556.0,50498366.0,61852343.0
2025-04-03,703258.0,0.0,703258.0,31370314.0,29457677.0,31370314.0,33457194.0,19457677.0,SAFE,46591933.0,51105424.0,61972050.0
2025-04-04,305591.0,0.0,305591.0,31675905.0,29961518.0,31675905.0,34571057.0,19961518.0,SAFE,46694672.0,51296796.0,62730694.0
2025-04-05,864686.0,0.0,864686.0,32540591.0,30429649.0,32540591.0,34785201.0,20429649.0,SAFE,46097683.0,52800866.0,62526675.0
2025-04-06,64907.0,0.0,64907.0,32605498.0,30544080.0,32605498.0,35503129.0,20544080.0,SAFE,46097683.0,52518363.0,62669789.0
2025-04-07,1113863.0,0.0,1113863.0,33719361.0,30520217.0,33719361.0,35628595.0,20520217.0,SAFE,45815126.0,52751947.0,62816734.0
2025-04-08,214144.0,0.0,214144.0,33933505.0,31384903.0,33933505.0,36294000.0,21384903.0,SAFE,46574434.0,53244927.0,63162050.0
2025-04-09,717928.0,139777.0,578151.0,34511656.0,31449810.0,34511656.0,36045963.0,21449810.0,SAFE,47279519.0,52920378.0,63324666.0
2025-04-10,453074.0,0.0,453074.0,34964730.0,32325574.0,34964730.0,36796678.0,22325574.0,SAFE,47306903.0,53091427.0,63716145.0
2025-04-11,904565.0,97630.0,806935.0,35771665.0,32539718.0,35771665.0,37139163.0,22539718.0,SAFE,47862786.0,54592440.0,64204051.0
2025-04-12,36891.0,0.0,36891.0,35808556.0,32862456.0,35808556.0,37673852.0,22862456.0,SAFE,47310576.0,54742207.0,64638280.0
2025-04-13,750715.0,588827.0,161888.0,35970444.0,33315530.0,35970444.0,38950335.0,23315530.0,SAFE,47394622.0,55508117.0,64711858.0
2025-04-14,342485.0,329454.0,13031.0,35983475.0,34220095.0,35983475.0,39116069.0,24220095.0,SAFE,47572652.0,55971225.0,65032887.0
2025-04-15,534689.0,0.0,534689.0,36518164.0,34051285.0,36518164.0,39384269.0,24051285.0,SAFE,47322764.0,57492032.0,65480039.0
2025-04-16,1276483.0,0.0,1276483.0,37794647.0,34645513.0,37794647.0,40619402.0,24645513.0,SAFE,47710453.0,56767879.0,66195794.0
2025-04-17,165734.0,238099.0,-72365.0,37722282.0,34987998.0,37722282.0,41251804.0,24987998.0,SAFE,47539986.0,57202150.0,66195794.0
2025-04-18,268200.0,0.0,268200.0,37990482.0,35301170.0,37990482.0,41983002.0,25301170.0,SAFE,47542781.0,57202150.0,66622764.0
2025-04-19,1374910.0,395190.0,979720.0,38970202.0,36426616.0,38970202.0,42404355.0,26426616.0,SAFE,47542781.0,57096711.0,67834937.0
